CA	K AH
CA(2)	S IY EY
CA(3)	K AA
ABACA	AE B AH K AH
ABACAS	AE B AH K AH Z
ABAPICAL	AE B AH P IH S AH L
ABDICABLE	AE B D IH S AH B AH L
ABDICATE	AE B D AH K EY T
ABDICATED	AE B D AH K EY T AH D
ABDICATES	AE B D AH K EY T S
ABDICATING	AE B D IH K EY T IH NG
ABDICATION	AE B D IH K EY SH AH N
ABDICATIONS	AE B D AH K EY T IY AH N Z
ABDICATOR	AE B D AH S EY T AH R
ABDICATORS	AE B D IH K AH T AH R Z
ABIOGENICALLY	EY B IY AH JH EH N AH K AE L IY
ABIOLOGICAL	AH B AY AH L AA JH IH K AH L
ABIOTICALLY	AH B AY AA T IH K AH L IY
ABRACADABRA	AE B R AH K AH D AE B R AH
ABRACADABRAS	AE B R AH K AH D AE B R AH Z
ACACIA	AH K EY SH AH
ACACIAS	AH K EY SH AH Z
ACADEME	AE K AH D IY M
ACADEMES	AE K AH D IY M Z
ACADEMIA	AE K AH D IY M IY AH
ACADEMIAS	AE K AH D IY M IY AH Z
ACADEMIC	AE K AH D EH M IH K
ACADEMICAL	AE K AH D EH M IH K AH L
ACADEMICALLY	AE K AH D EH M IH K L IY
ACADEMICIAN	AE K AH D AH M IH SH AH N
ACADEMICIANS	AE K AH D AH M IH SH AH N Z
ACADEMICIANS(2)	AH K AE D AH M IH SH AH N Z
ACADEMICISM	AE K AH D EH M IH K IH Z AH M
ACADEMICISMS	AE K AH D EH M IH K IH Z AH M Z
ACADEMICS	AE K AH D EH M IH K S
ACADEMIES	AH K AE D AH M IY Z
ACADEMISM	AE K AH D AH M IH Z AH M
ACADEMISMS	AH K AE D AH M AH Z AH M Z
ACADEMY	AH K AE D AH M IY
ACAJOU	AE K AH JH UW
ACAJOUS	AE K AH JH AH S
ACALEPH	AE K AH L AH F
ACALEPHAE	AH K AE L AH F IY
ACALEPHE	AE K AH L AH F
ACALEPHES	AE K AH L AH F S
ACALEPHS	AE K AH L AH F S
ACANTHI	AH K AE N TH IY
ACANTHOCEPHALAN	AH K AE N TH AH S EH F AH L AH N
ACANTHOCEPHALANS	AH K AE N TH AH S EH F AH L AH N Z
ACANTHUS	AH K AE N DH AH S
ACANTHUSES	AH K AE N DH AH S IH Z
ACAPNIA	AH K AE P N IY AH
ACAPNIAS	AH K AE P N IY AH Z
ACARI	AE K AH R IY
ACARIASES	AH K AE R IY EY Z AH Z
ACARIASIS	AE K AH R IY AH S AH S
ACARICIDAL	AH K EH R IH K S AH S AH D AH L
ACARICIDE	AH K AE R AH S AY D
ACARICIDES	AH K AE R AH S AY D Z
ACARID	AH K EH R AH D
ACARIDAN	AH K AE R AH D AH N
ACARIDANS	AH K AE R AH D AH N Z
ACARIDS	AH K EH R AH D Z
ACARINE	AE K AH R AY N
ACARINES	AE K AH R AY N Z
ACAROID	AE K AH R OY D
ACARPOUS	AH K AA R P AH S
ACARUS	AE K AH R AH S
ACATALECTIC	AH K AE T AH L AH K T AH K
ACATALECTICS	AH K AE T AH L EH K T AH S Z
ACAUDAL	AE K AH D AH L
ACAUDATE	AE K AH D EY T
ACAULESCENT	AE K EY AH L EH S AH N T
ACAULINE	AE K AH L AY N
ACAULOSE	AE K AH L OW Z
ACAULOUS	AH K EY AH L AH S
ACCIACCATURA	AE K S IY AH K AE T Y AH R AH
ACCIACCATURAS	AE K S IY AH K AE T Y AH R AH Z
ACCIACCATURE	AE K S IY AH K EY T Y AH R
ACERBICALLY	EY S ER B AY K AO L IY
ACETIFICATION	AH S EH T AH F AH K EY SH AH N
ACETIFICATIONS	AH S EH T AH F AH K EY T IY AH N Z
ACHROMATICALLY	AH K R OW M AE T IH K AH L IY
ACIDIFICATION	AH S IH D AH F AH K EY SH AH N
ACIDIFICATIONS	AE S AH D AH F AH K EY SH AH N Z
ACOUSTICAL	AH K UW S T IH K AH L
ACOUSTICALLY	AH K UW S T IH K L IY
ACROBATICALLY	AE K R AH B AE T IH K AH L IY
ACRONYMICALLY	AH K R OW N IY M AY S AH L IY
ACROSTICAL	AE K R AA S T IH S AH L
ACROSTICALLY	AE K R AA S T AH K AE L IY
ACTINICALLY	AE K T IH N IH K AH L IY
ADENOCARCINOMA	AH D EH N AH K AH R S IH N AH M AH
ADENOCARCINOMAS	AH D EH N AH K AH R S IH N AH M AH Z
ADENOCARCINOMATA	AH D AH N AH K AA R S AH N AA M AH T AH
ADENOCARCINOMATOUS	AH D EH N AH K AA R S AH N AA M AH T AH S
ADIABATICALLY	EY D IY AH B AE T AH K AE L IY
ADJUDICATE	AH JH UW D IH K EY T
ADJUDICATED	AH JH UW D AH K EY T IH D
ADJUDICATES	AH JH UW D IH K AH T S
ADJUDICATING	AH JH UW D IH K EY T IH NG
ADJUDICATION	AH JH UW D AH K EY SH AH N
ADJUDICATIONS	AH JH UW D IH K EY SH AH N Z
ADJUDICATIVE	AH JH UW D IH K AH T IH V
ADJUDICATOR	AH JH UW D IH K AH T ER
ADJUDICATORS	AH JH UW D IH K AH T ER Z
ADJUDICATORY	AH JH UW D IH K AH T OW R IY
ADRENERGICALLY	AE D R AH N AH R JH AH K AE L IY
ADRENOCORTICAL	AE D R EH N AH K AO R T IH S AH L
ADUNCATE	AH D AH N K EY T
ADVOCACIES	AE D V AH K AH S IY Z
ADVOCACY	AE D V AH K AH S IY
ADVOCATE	AE D V AH K AH T
ADVOCATE(2)	AE D V AH K EY T
ADVOCATED	AE D V AH K EY T IH D
ADVOCATES	AE D V AH K AH T S
ADVOCATES(2)	AE D V AH K EY T S
ADVOCATING	AE D V AH K EY T IH NG
ADVOCATION	AE D V AH K EY SH AH N
ADVOCATIONS	AE D V AH K EY SH AH N Z
ADVOCATIVE	AE D V AH K AH T IH V
ADVOCATOR	AE D V AH K AH T ER
ADVOCATORS	AE D V AH K AH T ER Z
AEROBICALLY	EH R OW B IH K L IY
AEROBIOLOGICAL	EH R AH B IY AA L AH JH IH S AH L
AERODYNAMICAL	AE R OW D AY N AE M IH K AH L
AERODYNAMICALLY	EH R OW D AY N AE M IH K L IY
AEROMEDICAL	AH R AA M AH D IH S AH L
AERONAUTICAL	EH R OW N AA T AH K AH L
AERONAUTICAL(2)	EH R AH N AA T AH K AH L
AERONAUTICALLY	AE R AH N AO T IH K AH L IY
AERONOMICAL	AH R AA N AH M IH S AH L
AESTHETICAL	EH S TH EH T IH K AH L
AESTHETICALLY	EH S TH EH T IH K L IY
AFFRICATE	AE F R AH K AH T
AFFRICATES	AE F R AH K AH T S
AFFRICATIVE	AE F R AH S EY T AH V
AFFRICATIVES	AE F R AH S EY T AH V Z
AFTERCARE	AE F T ER K EH R
AFTERCARES	AE F T ER K EH R Z
AGONISTICALLY	AH G AO N IH S T IH K AH L IY
AGRICHEMICAL	AE G R IH K AH M IH S AH L
AGRICHEMICALS	AE G R AH K EH M AH K AH L Z
AGROCHEMICAL	AE G R OW K EH M IH K AH L
AGROCHEMICALS	AE G R OW K EH M IH K AH L Z
AGRONOMICALLY	AE G R AH N AA M AH K AE L IY
AHISTORICAL	AH HH IH S T AO R IH K AH L
AIRSCAPE	AH IH R S K EY P
AIRSCAPES	AH IH R S K EY P S
ALCADE	AE L K EY D
ALCADES	AE L K EY D Z
ALCAHEST	AE L K AH AH S T
ALCAHESTS	AE L K AH HH AH S T S
ALCAIC	AE L K EY AH K
ALCAICS	AE L K EY AH S Z
ALCAIDE	AE L K EY D
ALCAIDES	AE L K EY D Z
ALCALDE	AE L K AH L D
ALCALDES	AE L K AH L D Z
ALCAYDE	AE L K EY D
ALCAYDES	AE L K EY D Z
ALCAZAR	AA L K AH Z AA R
ALCAZARS	AE L K AH Z AH R Z
ALCHEMICAL	AE L K AH M IH S AH L
ALCHEMICALLY	AE L K EH M AH K L IY
ALCHEMISTICAL	AE L K AH M IH S T IH S AH L
ALCOHOLICALLY	AE L K AH HH AO L IH K AH L IY
ALGEBRAICALLY	AE L JH AH B R EY IH K L IY
ALGOLOGICAL	AE L G AA L AH JH IH S AH L
ALGORITHMICALLY	AE L G AH R IH DH AH M IH K AH L IY
ALLEGORICAL	AE L AH G AO R IH K AH L
ALLEGORICALLY	AH L EH JH ER IH K AH L IY
ALLEGORICALNESS	AH L EH JH ER IH K AH L N AH S
ALLEGORICALNESSES	AH L EH JH ER IH K AH L N AH S IH Z
ALLOCABLE	AE L AH K AH B AH L
ALLOCATABLE	AE L AH K AH T AH B AH L
ALLOCATE	AE L AH K EY T
ALLOCATED	AE L AH K EY T IH D
ALLOCATES	AE L AH K EY T S
ALLOCATING	AE L AH K EY T IH NG
ALLOCATION	AE L AH K EY SH AH N
ALLOCATIONS	AE L AH K EY SH AH N Z
ALLOCATOR	AE L AH K EY T ER
ALLOCATORS	AE L AH K EY T ER Z
ALLOPATRICALLY	AE L AH P AE T R AH K AE L IY
ALLOSTERICALLY	AE L AA S T EH R AH K AE L IY
ALLOTYPICALLY	AE L AH T IH P AH K AE L IY
ALOGICAL	AH L AA JH IH K AH L
ALOGICALLY	AH L AA JH IH K AH L IY
ALPACA	AE L P AE K AH
ALPACAS	AE L P AH K AH Z
ALPHABETICAL	AE L F AH B EH T IH K AH L
ALPHABETICALLY	AE L F AH B EH T IH K L IY
ALPHANUMERICAL	AE L F AH N UH M EH R IH K AH L
ALPHANUMERICALLY	AE L F AH N UH M EH R IH K AH L IY
ALTERCATE	AO L T ER K EY T
ALTERCATED	AO L T ER K EY T IH D
ALTERCATES	AO L T ER K EY T S
ALTERCATING	AO L T ER K EY T IH NG
ALTERCATION	AA L T ER K EY SH AH N
ALTERCATIONS	AA L T ER K EY SH AH N Z
ALTRUISTICALLY	AE L T R UH IH S T IH K AH L IY
ALUMINOSILICATE	AH L UW M AH N OW S IH L AH K EY T
ALUMINOSILICATES	AE L AH M IH N AA S IH L AY S AH T S
AMBUSCADE	AE M B AH S K EY D
AMBUSCADED	AE M B AH S K EY D IH D
AMBUSCADER	AE M B AH S K EY D ER
AMBUSCADERS	AE M B AH S K EY D ER Z
AMBUSCADES	AE M B AH S K EY D Z
AMBUSCADING	AE M B AH S K EY D IH NG
AMICABILITIES	AH M AY K AH B AY L AH T IY Z
AMICABILITY	AH M AY K AH B AY L AH T IY
AMICABLE	AE M IH K AH B AH L
AMICABLENESS	AE M IH K AH B AH L N AH S
AMICABLENESSES	AE M IH K AH B AH L N AH S IH Z
AMICABLY	AE M IH K AH B L IY
AMITOTICALLY	AE M AH T AA T AH K AE L IY
AMMONIACAL	AH M OW N IY AE K AH L
AMMONIFICATION	AE M AA N AH F AH K EY SH AH N
AMMONIFICATIONS	AE M AA N AH F AH K EY T IY AH N Z
AMPHITHEATRICAL	AE M F AH TH IY T R IH S AH L
AMPHITHEATRICALLY	AE M F AH TH IY T R AH K AE L IY
AMPLIFICATION	AE M P L AH F AH K EY SH AH N
AMPLIFICATIONS	AE M P L AH F AH K EY SH AH N Z
ANACHRONISTICALLY	AH N AE K R AH N IH S T IH K AH L IY
ANACOLUTHICALLY	AE N AH K AH L AH TH AH K AE L IY
ANAEROBICALLY	AE N AH R OW B IH K AH L IY
ANAGOGICAL	AH N AE G AH JH IH S AH L
ANAGOGICALLY	AE N AH G AA JH AH K AE L IY
ANAGRAMMATICAL	AE N AH G R AE M AH T IH K AH L
ANAGRAMMATICALLY	AE N AH G R AE M AH T IH K AH L IY
ANALOGICAL	AH N AE L AH JH IH S AH L
ANALOGICALLY	AE N AH L AA JH AH K AE L IY
ANALYTICAL	AE N AH L IH T IH K AH L
ANALYTICALLY	AE N AH L IH T IH K L IY
ANAPHORICALLY	AE N AH F AO R AH K AE L IY
ANAPHYLACTICALLY	AE N AH F AH L AE K T AH K AE L IY
ANARCHICAL	AE N AA R K IH K AH L
ANARCHICALLY	AE N AA R K IH K AH L IY
ANASARCA	AE N AH S AA R K AH
ANASARCAS	AE N AH S AA R K AH Z
ANATOMICAL	AE N AH T AA M IH K AH L
ANATOMICALLY	AE N AH T AA M AH K L IY
ANCHORITICALLY	AE NG K AH R AY T IH K AH L IY
ANECDOTICAL	AE N IH K D OW T IH K AH L
ANECDOTICALLY	AE N IH K D OW T IH K AH L IY
ANEMICALLY	AH N IY M IH K AH L IY
ANESTHETICALLY	AE N AH S TH EH T IH K AH L IY
ANGELICA	AE N JH EH L IH K AH
ANGELICA(2)	AE N JH AH L IY K AH
ANGELICAL	AE N JH EH L IH K AH L
ANGELICALLY	AE N JH EH L IH K L IY
ANGELICAS	AE N JH EH L IH K AH Z
ANGIOCARDIOGRAPHIC	AE N JH IY AH K AA R D IY AA G R AH F AH K
ANGIOCARDIOGRAPHIES	AE N JH IY AH K AA R D IY AA G R AH F AY Z
ANGIOCARDIOGRAPHY	AE N JH IY AH K AA R D IY AA G R AH F IY
ANISOTROPICALLY	AE N AH S AA T R AA P AH K AE L IY
ANODICALLY	AE N OW D IH K AH L IY
ANTAGONISTICALLY	AE N T AE G AH N IH S T IH K AH L IY
ANTHOLOGICAL	AE N TH AA L AH JH IH S AH L
ANTHROPICAL	AE N TH R AH P IH S AH L
ANTHROPOCENTRICALLY	AE N TH R AH P AH S EH N T R AH K AE L IY
ANTHROPOLOGICAL	AE N TH R AH P AH L AA JH AH K AH L
ANTHROPOLOGICALLY	AE N TH R AH P AH L AA JH IH K AH L IY
ANTHROPOMORPHICALLY	AE N TH R AH P AH M AO R F IH K AH L IY
ANTIACADEMIC	AE N T AY AE K AH D EH M IH K
ANTIACADEMICS	AE N T AY AE K AH D EH M IH K S
ANTIBIOTICALLY	AE N T AY B AY AA T IH K AH L IY
ANTICAKING	AE N T AY K EY K IH NG
ANTICALLY	AE N T AY K AO L IY
ANTICANCER	AE N T AY K AE N S ER
ANTICANCER(2)	AE N T IY K AE N S ER
ANTICAPITALISM	AE N T AY K AE P AH T AH L IH Z AH M
ANTICAPITALISMS	AE N T AY K AE P AH T AH L IH Z AH M Z
ANTICAPITALIST	AE N T AY K AE P AH T AH L IH S T
ANTICAPITALISTS	AE N T AY K AE P AH T AH L IH S T S
ANTICAR	AE N T AY K AA R
ANTICARCINOGEN	AE N T AH K AA R S IH N AH JH AH N
ANTICARCINOGENIC	AE N T AH K AA R S IH N AH JH AH N AH K
ANTICARCINOGENS	AE N T AH K AA R S IH N AH JH AH N Z
ANTICARIES	AE N T IH K EH R IY Z
ANTICATALYST	AE N T AY K AE T AH L AH S T
ANTICATALYSTS	AE N T AY K AE T AH L AH S T S
ANTICATHODE	AE N T AY K AE TH OW D
ANTICATHODES	AE N T AY K AE TH OW D Z
ANTICLASSICAL	AE N T AY K L AE S IH K AH L
ANTICLERICAL	AE N T AY K L EH R IH K AH L
ANTICLERICALISM	AE N T AY K L EH R IH K AH L IH Z AH M
ANTICLERICALISMS	AE N T AY K L EH R IH K AH L IH Z AH M Z
ANTICLERICALIST	AE N T AY K L EH R IH K AH L IH S T
ANTICLERICALISTS	AE N T AY K L EH R IH K AH L IH S T S
ANTICLERICALS	AE N T AY K L EH R IH K AH L Z
ANTICLIMACTICAL	AE N T AY K L AY M AE K T IH K AH L
ANTICLIMACTICALLY	AE N T AY K L AY M AE K T IH K AH L IY
ANTIDESERTIFICATION	AE N T AY D EH Z ER T AH F AH K EY SH AH N
ANTIDESICCANT	AE N T AY D IY S IH K AH N T
ANTIDESICCANTS	AE N T AY D IY S IH K AH N T S
ANTIDROMICALLY	AE N T AY D R AA M AH K AE L IY
ANTIEDUCATIONAL	AE N T AY EH JH AH K EY SH AH N AH L
ANTIFERROMAGNETICALLY	AE N T AY F EH R OW M AE G N EH T IH K AH L IY
ANTIGENICALLY	AE N T IH JH AH N IH K AH L IY
ANTIHIERARCHICAL	AE N T AH HH AH R AA R K IH S AH L
ANTIHISTORICAL	AE N T AY HH IH S T AO R IH K AH L
ANTILOGICAL	AE N T AY L AA JH IH K AH L
ANTIMACASSAR	AE N T AH M AE K AH S AH R
ANTIMACASSARS	AE N T AH M AH K AE S AH R Z
ANTIMETAPHYSICAL	AE N T AY M EH T AH F IH Z IH K AH L
