CI	S IY
ABACI	AE B AH S IY
ABBACIES	AE B AH S AY Z
ABBOTCIES	AE B AA T S AY Z
ABDUCING	AE B D Y UW S AH NG
ABERRANCIES	AE B EH R AH N S IY Z
ABEYANCIES	AH B EY AH N S IY Z
ABORTIFACIENT	AH B AO R T AH F EY SH AH N T
ABORTIFACIENTS	AH B AO R T AH F EY SH AH N T S
ABSCISE	AE B S AY Z
ABSCISED	AE B S AH S T
ABSCISES	AE B S AY Z AH Z
ABSCISIN	AE B S AH S AH N
ABSCISING	AE B S AY Z AH NG
ABSCISINS	AE B S AH S AH N Z
ABSCISSA	AE B S IH S AH
ABSCISSAE	AE B S IH S IY
ABSCISSAS	AE B S IH S AH Z
ABSCISSION	AE B S IH S IY AH N
ABSCISSIONS	AE B S IH S IY AH N Z
ABSORBANCIES	AH B Z AO R B AH N S IY Z
ABSORBENCIES	AH B Z AO R B AH N S IY Z
ACACIA	AH K EY SH AH
ACACIAS	AH K EY SH AH Z
ACADEMICIAN	AE K AH D AH M IH SH AH N
ACADEMICIANS	AE K AH D AH M IH SH AH N Z
ACADEMICIANS(2)	AH K AE D AH M IH SH AH N Z
ACADEMICISM	AE K AH D EH M IH K IH Z AH M
ACADEMICISMS	AE K AH D EH M IH K IH Z AH M Z
ACARICIDAL	AH K EH R IH K S AH D AH L
ACARICIDE	AH K AE R AH S AY D
ACARICIDES	AH K AE R AH S AY D Z
ACCIACCATURA	AE K S IY AH K AE T Y AH R AH
ACCIACCATURAS	AE K S IY AH K AE T Y AH R AH Z
ACCIACCATURE	AE K S IY AH K EY T Y AH R
ACCIDENCE	AE K S AH D AH N S
ACCIDENCES	AE K S AH D AH N S IH Z
ACCIDENT	AE K S AH D AH N T
ACCIDENTAL	AE K S AH D EH N T AH L
ACCIDENTAL(2)	AE K S AH D EH N AH L
ACCIDENTALLY	AE K S AH D EH N T AH L IY
ACCIDENTALLY(2)	AE K S AH D EH N AH L IY
ACCIDENTALNESS	AE K S AH D EH N T AH L N AH S
ACCIDENTALNESSES	AE K S AH D EH N T AH L N AH S IH Z
