CK	S IY K
ABACK	AH B AE K
ACKEE	AE K IY IY
ACKEES	AE K IY Z
ACKNOWLEDGE	AE K N AA L IH JH
ACKNOWLEDGED	AE K N AA L IH JH D
ACKNOWLEDGEDLY	AE K N AA L IH JH AH D L IY
ACKNOWLEDGEMENT	AE K N AA L IH JH M AH N T
ACKNOWLEDGEMENTS	AE K N AA L IH JH M AH N T S
ACKNOWLEDGES	AE K N AA L IH JH IH Z
ACKNOWLEDGING	AE K N AA L IH JH IH NG
ACKNOWLEDGMENT	AE K N AA L IH JH M AH N T
ACKNOWLEDGMENTS	AE K N AA L IH JH M AH N T S
ACOCK	AH K AA K
AFTERDECK	AE F T ER D EH K
AFTERDECKS	AE F T ER D EH K S
AFTERSHOCK	AE F T ER SH AA K
AFTERSHOCKS	AE F T ER SH AA K S
AIRCHECK	AH IH R CH EH K
AIRCHECKS	AH IH R CH EH K S
AIRSICK	AH IH R S IH K
AIRSICKNESS	AH IH R S IH K N AH S
AIRSICKNESSES	AH IH R S IH K N AH S IH Z
ALACK	AH L AE K
ALPENSTOCK	AE L P AH N S T AA K
ALPENSTOCKS	AE L P AH N S T AA K S
AMBERJACK	AE M B ER JH AE K
AMBERJACKS	AE M B ER JH AE K S
AMTRACK	AE M T R AE K
AMTRACKS	AE M T R AH K S
AMUCK	AH M AH K
AMUCKS	AH M AH K S
ANTIBACKLASH	AE N T AY B AE K L AE SH
ANTIBLACK	AE N T AY B L AE K
ANTIBLACKISM	AE N T AY B L AE K IH Z AH M
ANTIBLACKISMS	AE N T AY B L AE K IH Z AH M Z
ANTICK	AE N T AH K
ANTICKED	AE N T IH K T
ANTICKING	AE N T IH K IH NG
ANTICKS	AE N T AH K S
ANTICLOCKWISE	AE N T AY K L AA K W AY Z
ANTICRACK	AE N T AY K R AE K
ANTIHIJACK	AE N T AY HH AY JH AE K
ANTIKICKBACK	AE N T AY K IH K B AE K
ANTIKNOCK	AE N T IY N AA K
ANTIKNOCKS	AE N T AY N AA K S
ANTILOCK	AE N T IY L AA K
ANTILOCK(2)	AE N T AY L AA K
ANTIRACKETEERING	AE N T AY R AE K AH T IH R IH NG
ANTIROCK	AE N T AY R AA K
ANTISHOCK	AE N T AY SH AA K
ANTISTICK	AE N T AY S T IH K
APPLEJACK	AE P AH L JH AE K
APPLEJACKS	AE P AH L JH AE K S
ARCKED	AA R K T
ARCKING	AA R K IH NG
ARMLOCK	AA R M L AA K
