CR	S IY R
ACCREDIT	AH K R EH D IH T
ACCREDITABLE	AH K R EH D AH T AH B AH L
ACCREDITATION	AH K R EH D AH T EY SH AH N
ACCREDITATIONS	AH K R EH D AH T EY SH AH N Z
ACCREDITED	AH K R EH D IH T IH D
ACCREDITING	AH K R EH D AH T IH NG
ACCREDITS	AH K R EH D AH T S
ACCRETE	AH K R IY T
ACCRETED	AH K R IY T IH D
ACCRETES	AH K R IY T S
ACCRETING	AH K R IY T IH NG
ACCRETION	AH K R IY SH AH N
ACCRETIONARY	AH K R IY SH AH N EH R IY
ACCRETIONS	AH K R IY SH AH N Z
ACCRETIVE	AH K R IY T IH V
ACCRUABLE	AH K R UW AH B AH L
ACCRUAL	AH K R UW AH L
ACCRUALS	AH K R UW AH L Z
ACCRUE	AH K R UW
ACCRUED	AH K R UW D
ACCRUEMENT	AH K R UW M AH N T
ACCRUEMENTS	AH K R UW M AH N T S
ACCRUES	AH K R UW Z
ACCRUING	AH K R UW IH NG
ACRASIA	AE K R EY ZH IY AH
ACRASIAS	AE K R EY S IY AH Z
ACRASIN	AE K R AH S AH N
ACRASINS	AE K R AH S AH N Z
ACRE	EY K ER
ACREAGE	EY K AH R IH JH
ACREAGE(2)	EY K R IH JH
ACREAGES	EY K ER IH JH IH Z
ACRED	EY K ER D
ACRES	EY K ER Z
ACRID	AE K R IH D
ACRIDER	AE K R AH D ER
ACRIDEST	AE K R AH D AH S T
ACRIDINE	AE K R AH D AY N
ACRIDINES	AE K R AH D AY N Z
ACRIDITIES	AE K R AH D AH T IY Z
ACRIDITY	AE K R AH D AH T IY
ACRIDLY	AE K R AH D L IY
ACRIDNESS	AE K R AH D N AH S
ACRIDNESSES	AE K R AH D N AH S IH Z
ACRIFLAVINE	AE K R IH F L AH V AY N
ACRIFLAVINES	AE K R IH F L AH V AY N Z
ACRIMONIES	AE K R IH M AH N AY Z
ACRIMONIOUS	AE K R AH M OW N IY AH S
ACRIMONIOUSLY	AE K R AH M AH N IY OW AH S L IY
ACRIMONIOUSNESS	AE K R AH M OW N IY AW Z N AH S
ACRIMONIOUSNESSES	AE K R AH M OW N IY AW Z N EH S AH Z
ACRIMONY	AE K R IH M OW N IY
ACRITARCH	AE K R AH T AH R K
ACRITARCHS	AE K R AH T AH R K S
ACROBAT	AE K R AH B AE T
ACROBATIC	AE K R AH B AE T IH K
ACROBATICALLY	AE K R AH B AE T IH K AH L IY
ACROBATICS	AE K R AH B AE T IH K S
ACROBATS	AE K R AH B AE T S
ACROCENTRIC	AE K R AH S AH N T R AH K
ACROCENTRICS	AE K R AH S EH N T R AH S Z
ACRODONT	AE K R AH D AH N T
ACRODONTS	AE K R AH D AH N T S
ACROGEN	AE K R AH JH AH N
ACROGENS	AE K R AH JH AH N Z
ACROLECT	AE K R AH L AH K T
ACROLECTS	AE K R AH L AH K T S
ACROLEIN	AE K R OW L IY N
ACROLEINS	AE K R AH L IY N Z
ACROLITH	AE K R AH L AH TH
ACROLITHS	AE K R AH L AH TH S
ACROMEGALIC	AE K R AA M AH G AH L AH K
ACROMEGALICS	AE K R AH M EH G AH L AH S Z
ACROMEGALIES	AE K R AH M EH G AH L AY Z
ACROMEGALY	AE K R AH M EH G AH L IY
ACROMIA	AE K R OW M IY AH
ACROMIAL	AE K R OW M IY AH L
ACROMION	AE K R OW M IY AH N
ACROMIONS	AE K R OW M IY AH N Z
ACRONIC	AH K R OW N IH K
ACRONYM	AE K R AH N IH M
ACRONYMIC	AE K R AH N AH M AH K
ACRONYMICALLY	AH K R OW N IY M AY S AH L IY
ACRONYMS	AE K R AH N IH M Z
ACROPETAL	AE K R AA P AH T AH L
ACROPETALLY	AE K R AA P AH T AE L IY
ACROPHOBE	AE K R AH F OW B
ACROPHOBES	AE K R AH F OW B Z
ACROPHOBIA	AE K R AH F OW B IY AH
ACROPHOBIAS	AE K R AH F OW B IY AH Z
ACROPOLIS	AH K R AA P AH L AH S
ACROPOLISES	AH K R AA P AH L AH S IH Z
ACROSOMAL	AE K R AA S AH M AH L
ACROSOME	AE K R AH S AH M
ACROSOMES	AE K R AH S AH M Z
ACROSS	AH K R AO S
ACROSTIC	AE K R AH S T AH K
ACROSTICAL	AE K R AA S T IH S AH L
ACROSTICALLY	AE K R AA S T AH K AE L IY
ACROSTICS	AE K R AA S T AH S Z
ACROTIC	AE K R AH T AH K
ACROTISM	AE K R AH T IH Z AH M
ACROTISMS	AE K R AH T AH Z AH M Z
ACRYLAMIDE	AE K R IH L AH M AY D
ACRYLAMIDES	AE K R IH L AH M AY D Z
ACRYLATE	AH K R AY L EY T
ACRYLATES	AH K R AY L EY T S
ACRYLIC	AH K R IH L IH K
ACRYLICS	AH K R IH L IH K S
ACRYLONITRILE	AE K R IH L AH N IH T R AH L
ACRYLONITRILES	AE K R IH L AH N IH T R AH L Z
ADSCRIPT	AE D S K R AH P T
ADSCRIPTS	AE D S K R AH P T S
AIRCRAFT	EH R K R AE F T
AIRCREW	EH R K R UW
AIRCREWS	AH IH R K R UW Z
AIRSCREW	AH IH R S K R UW
AIRSCREWS	AH IH R S K R UW Z
ALACRITIES	AH L AE K R AH T IY Z
ALACRITOUS	AH L AE K R AH T AH S
ALACRITY	AH L AE K R AH T IY
AMBULACRA	AE M B Y AH L AE K R AH
AMBULACRAL	AE M B Y AH L AE K R AH L
AMBULACRUM	AE M B Y AH L AE K R AH M
ANACREONTIC	AH N AE K R IY AH N T AH K
ANACREONTICS	AH N AE K R IY AA N T AH S Z
ANACRUSES	AE N AH K R UW Z AH Z
ANACRUSIS	AH N AE K R UW S AH S
ANCRESS	AE NG K R AH S
ANCRESSES	AE NG K R EH S AH Z
ANTIAIRCRAFT	AE N T AY EH R K R AE F T
ANTIAIRCRAFTS	AE N T AY AH IH R K R AE F T S
ANTIARISTOCRATIC	AE N T AY AH R IH S T AH K R AE T IH K
ANTIBUREAUCRATIC	AE N T AY B Y UH R AH K R AE T IH K
ANTICRACK	AE N T AY K R AE K
ANTICREATIVE	AE N T AY K R IY EY T IH V
ANTICRIME	AE N T IY K R AY M
ANTICRIME(2)	AE N T AY K R AY M
ANTICRUELTY	AE N T AY K R UW AH L T IY
ANTIDEMOCRATIC	AE N T AY D EH M AH K R AE T IH K
ANTIDISCRIMINATION	AE N T IY D IH S K R IH M AH N EY SH AH N
ANTIDISCRIMINATION(2)	AE N T AY D IH S K R IH M AH N EY SH AH N
ANTIMICROBIAL	AE N T AY M AY K R OW B IY AH L
ANTIMICROBIALS	AE N T AY M AY K R OW B IY AH L Z
ANTISECRECY	AE N T AY S IY K R AH S IY
APOCRINE	AE P AH K R AY N
APOCRYPHA	AH P AA K R AH F AH
APOCRYPHAL	AH P AA K R AH F AH L
APOCRYPHALLY	AH P AA K R AH F AH L IY
APOCRYPHALNESS	AH P AA K R AH F AH L N AH S
APOCRYPHALNESSES	AH P AA K R AH F AH L N AH S IH Z
ARISTOCRACIES	AE R AH S T AA K R AH S IY Z
ARISTOCRACY	EH R AH S T AA K R AH S IY
ARISTOCRAT	ER IH S T AH K R AE T
ARISTOCRATIC	ER IH S T AH K R AE T IH K
ARISTOCRATICALLY	AH R IH S T AH K R AE T IH K AH L IY
ARISTOCRATS	ER IH S T AH K R AE T S
ASCRIBABLE	AH S K R AY B AH B AH L
ASCRIBE	AH S K R AY B
ASCRIBED	AH S K R AY B D
ASCRIBES	AH S K R AY B Z
ASCRIBING	AH S K R AY B IH NG
ASCRIPTION	AH S K R IH P SH AH N
ASCRIPTIONS	AH S K R IH P SH AH N Z
ASCRIPTIVE	AH S K R IH P T IH V
AUTOCRACIES	AO T AA K R AH S IY Z
AUTOCRACY	AO T AA K R AH S IY
AUTOCRAT	AO T AH K R AE T
AUTOCRATIC	AO T AH K R AE T IH K
AUTOCRATICAL	AO T AH K R AE T IH K AH L
AUTOCRATICALLY	AO T AH K R AE T IH K AH L IY
AUTOCRATS	AO T AH K R AE T S
AUTOCROSS	AO T OW K R AO S
AUTOCROSSES	AO T OW K R AO S IH Z
BACKCROSS	B AE K R AO S
BACKCROSSED	B AE K R AO S T
BACKCROSSES	B AE K R AO S IH Z
BACKCROSSING	B AE K R AO S IH NG
BECRAWL	B IH K R AO L
BECRAWLED	B IH K R AO L D
BECRAWLING	B IH K R AO L IH NG
BECRAWLS	B IH K R AO L Z
BECRIME	B IH K R AY M
BECRIMED	B IH K R AY M D
BECRIMES	B IH K R AY M Z
BECRIMING	B IH K R AY M IH NG
BECROWD	B IH K R AW D
