DE	D IY
DE(2)	D EY
DE(3)	D AH
ABIDE	AH B AY D
ABIDED	AH B AY D IH D
ABIDER	AH B AY D ER
ABIDERS	AH B AY D ER Z
ABIDES	AH B AY D Z
ABODE	AH B OW D
ABODED	AH B OW D IH D
ABODES	AH B OW D Z
ABOIDEAU	AH B OY D IY UW
ABOIDEAUS	AH B OY D IY AH S
ABOIDEAUX	AH B OY D IY AH K S
ABOUNDED	AH B AW N D IH D
ABRADE	AE B R EY D
ABRADED	AH B R AE D IH D
ABRADER	AH B R AE D ER
ABRADERS	AH B R AE D ER Z
ABRADES	AE B R EY D Z
ABSCONDED	AE B S K AA N D AH D
ABSCONDER	AE B S K AA N D AH R
ABSCONDERS	AE B S K AA N D AH R Z
ABSENTMINDED	AE B S AH N T M AY N D IH D
ABSENTMINDEDLY	AE B S AH N T M AY N D AH D L IY
ABSENTMINDEDNESS	AE B S AH N T M AY N D AH D N AH S
ABSENTMINDEDNESSES	AE B S AH N T M AY N D AH D N AH S IH Z
ABSURDER	AH B S ER D ER
ABSURDEST	AH B S ER D AH S T
ACADEME	AE K AH D IY M
ACADEMES	AE K AH D IY M Z
ACADEMIA	AE K AH D IY M IY AH
ACADEMIAS	AE K AH D IY M IY AH Z
ACADEMIC	AE K AH D EH M IH K
ACADEMICAL	AE K AH D EH M IH K AH L
ACADEMICALLY	AE K AH D EH M IH K L IY
ACADEMICIAN	AE K AH D AH M IH SH AH N
ACADEMICIANS	AE K AH D AH M IH SH AH N Z
ACADEMICIANS(2)	AH K AE D AH M IH SH AH N Z
ACADEMICISM	AE K AH D EH M IH K IH Z AH M
ACADEMICISMS	AE K AH D EH M IH K IH Z AH M Z
ACADEMICS	AE K AH D EH M IH K S
ACADEMIES	AH K AE D AH M IY Z
ACADEMISM	AE K AH D AH M IH Z AH M
ACADEMISMS	AH K AE D AH M AH Z AH M Z
ACADEMY	AH K AE D AH M IY
ACARICIDE	AH K AE R AH S AY D
ACARICIDES	AH K AE R AH S AY D Z
ACCEDE	AE K S IY D
ACCEDED	AE K S IY D IH D
ACCEDER	AE K S IY D ER
ACCEDERS	AE K S IY D ER Z
ACCEDES	AE K S IY D Z
ACCIDENCE	AE K S AH D AH N S
ACCIDENCES	AE K S AH D AH N S IH Z
ACCIDENT	AE K S AH D AH N T
ACCIDENTAL	AE K S AH D EH N T AH L
ACCIDENTAL(2)	AE K S AH D EH N AH L
ACCIDENTALLY	AE K S AH D EH N T AH L IY
ACCIDENTALLY(2)	AE K S AH D EH N AH L IY
ACCIDENTALNESS	AE K S AH D EH N T AH L N AH S
ACCIDENTALNESSES	AE K S AH D EH N T AH L N AH S IH Z
ACCIDENTALS	AE K S AH D EH N T AH L Z
ACCIDENTLY	AE K S AH D AH N T L IY
ACCIDENTS	AE K S AH D AH N T S
ACCOLADE	AE K AH L EY D
ACCOLADES	AE K AH L EY D Z
ACCORDED	AH K AO R D IH D
ACCORDER	AH K AO R D ER
ACCORDERS	AH K AO R D ER Z
ACETALDEHYDE	AH S AH T AE L D AH HH AY D
ACETALDEHYDES	AH S AH T AE L D AH HH AY D Z
ACETAMIDE	AH S EH T AH M AY D
ACETAMIDES	AH S EH T AH M AY D Z
ACETANILIDE	AH S AH T AE N AH L AY D
ACETANILIDES	AH S AH T AE N AH L AY D Z
ACETAZOLAMIDE	AH S AH T AH Z AA L AH M AY D
ACETAZOLAMIDES	AH S AH T AH Z AA L AH M AY D Z
ACIDEMIA	AE S AH D IY M IY AH
ACIDEMIAS	AE S AH D IY M IY AH Z
ACNODE	AE K N OW D
ACNODES	AE K N OW D Z
ACRIDER	AE K R AH D ER
ACRIDEST	AE K R AH D AH S T
