DH	D IY
ACIDHEAD	AE S AH D HH EH D
ACIDHEADS	AE S AH D HH EH D Z
ADHERE	AH D HH IH R
ADHERED	AE D HH IH R D
ADHERENCE	AH D HH IH R AH N S
ADHERENCES	AE D HH IH ER AH N S IH Z
ADHEREND	AE D HH AH R AH N D
ADHERENDS	AE D HH AH R AH N D Z
ADHERENT	AH D HH IH R AH N T
ADHERENTLY	AE D HH IH ER AH N T L IY
ADHERENTS	AE D HH IH R AH N T S
ADHERER	AE D HH IH ER ER
ADHERERS	AE D HH IH ER ER Z
ADHERES	AH D HH IH R Z
ADHERING	AH D HH IH R IH NG
ADHESION	AE D HH IY ZH AH N
ADHESIONAL	AE D HH IY ZH AH N AH L
ADHESIONS	AE D HH IY ZH AH N Z
ADHESIVE	AE D HH IY S IH V
ADHESIVE(2)	AH D HH IY S IH V
ADHESIVELY	AE D HH IY S IH V L IY
ADHESIVENESS	AE D HH IY S IH V N AH S
ADHESIVENESSES	AE D HH IY S IH V N AH S IH Z
ADHESIVES	AE D HH IY S IH V Z
ADHESIVES(2)	AH D HH IY S IH V Z
ADHIBIT	AE D HH AH B AH T
ADHIBITED	AE D HH AH B AY T AH D
ADHIBITING	AE D HH AH B AY T AH NG
ADHIBITS	AE D HH AH B AH T S
BALDHEAD	B AO L D HH EH D
BALDHEADED	B AO L D HH EH D IH D
BALDHEADS	B AO L D HH EH D Z
BEHINDHAND	B IH HH AY N D HH AE N D
BIRDHOUSE	B ER D HH AW S
BIRDHOUSES	B ER D HH AW S IH Z
BLOODHOUND	B L AH D HH AW N D
BLOODHOUNDS	B L AH D HH AW N D Z
BLOODHOUNDS(2)	B L AH D HH AW N Z
BODDHISATTVA	B AA D HH AH S AE T V AH
BODDHISATTVAS	B AA D HH AH S AE T V AH Z
BODHISATTVA	B OW D IH S AH T B AH
BODHISATTVAS	B OW D IH S AA T V AH S
BODHRAN	B AA D HH R AH N
BODHRANS	B AA D HH R AH N Z
BONDHOLDER	B AA N D HH OW L D ER
BONDHOLDERS	B AA N D HH OW L D ER Z
CARDHOLDER	K AA R D HH OW L D ER
CARDHOLDERS	K AA R D HH OW L D ER Z
CHILDHOOD	CH AY L D HH UH D
CHILDHOODS	CH AY L D HH UH D Z
CLODHOPPER	K L AA D HH AA P ER
CLODHOPPERS	K L AA D HH AA P ER Z
CLODHOPPING	K L AA D HH AA P IH NG
COLDHEARTED	K OW L D HH AA R T IH D
COLDHEARTEDLY	K OW L D HH AA R T AH D L IY
COLDHEARTEDNESS	K OW L D HH AA R T AH D N AH S
COLDHEARTEDNESSES	K OW L D HH AA R T AH D N AH S IH Z
DALEDH	D AE L AH D
DALEDHS	D AE L AH D Z
DEADHEAD	D EH D HH EH D
DEADHEADED	D EH D HH EH D IH D
DEADHEADING	D EH D HH EH D IH NG
DEADHEADS	D EH D HH EH D Z
DHAK	D HH AE K
DHAKS	D HH AE K S
DHAL	D HH AE L
DHALS	D HH AE L Z
DHARMA	D AA R M AH
DHARMAS	D ER M AH Z
DHARMIC	D HH AA R M AH K
DHARNA	D HH AA R N AH
DHARNAS	D HH AA R N AH Z
DHOBI	D HH AA B IY
DHOBIS	D HH OW B AH S
DHOLE	D OW L
DHOLES	D HH OW L Z
DHOOLIES	D HH UW L AY Z
DHOOLY	D HH UW L IY
DHOORA	D HH UH R AH
DHOORAS	D HH UH R AH Z
DHOOTI	D HH UW T IY
DHOOTIE	D HH UW T AY
DHOOTIES	D HH UW T AY Z
DHOOTIS	D HH UW T AH S
DHOTI	D HH AA T IY
DHOTIS	D HH OW T AH S
DHOURRA	D HH AH R AH
DHOURRAS	D HH AH R AH Z
DHOW	D HH OW
DHOWS	D AW Z
DHURNA	D HH AH R N AH
DHURNAS	D HH AH R N AH Z
DHURRIE	D HH AH R AY
DHURRIES	D HH AH R AY Z
DHUTI	D HH Y UW T IY
DHUTIS	D HH Y UW T AH S
EDH	EH D
EDHS	EH D Z
FEEDHOLE	F IY D HH OW L
FEEDHOLES	F IY D HH OW L Z
GESUNDHEIT	G AH Z UH N D HH AY T
GILDHALL	G IH L D HH AO L
GILDHALLS	G IH L D HH AO L Z
GODHEAD	G AA D HH EH D
GODHEADS	G AA D HH EH D Z
GODHOOD	G AA D HH UH D
GODHOODS	G AA D HH UH D Z
GROUNDHOG	G R AW N D HH AA G
GROUNDHOGS	G R AW N D HH AA G Z
GUARDHOUSE	G AA R D HH AW S
GUARDHOUSES	G AA R D HH AW S IH Z
GUILDHALL	G IH L D HH AO L
GUILDHALLS	G IH L D HH AO L Z
HANDHELD	HH AE N D HH EH L D
HANDHELDS	HH AE N D HH EH L D Z
HANDHOLD	HH AE N D HH OW L D
HANDHOLDING	HH AE N D HH OW L D IH NG
HANDHOLDINGS	HH AE N D HH OW L D IH NG Z
HANDHOLDS	HH AE N D HH OW L D Z
HARDHACK	HH AA R D HH AE K
HARDHACKS	HH AA R D HH AE K S
HARDHANDED	HH AA R D HH AE N D IH D
HARDHANDEDNESS	HH AA R D HH AE N D AH D N AH S
HARDHANDEDNESSES	HH AA R D HH AE N D AH D N AH S IH Z
HARDHAT	HH AA R D HH AE T
HARDHATS	HH AA R D HH AE T S
HARDHEAD	HH AA R D HH EH D
HARDHEADED	HH AA R D HH EH D IH D
HARDHEADEDLY	HH AA R D HH EH D AH D L IY
