EE	IY
ABDUCTEE	AE B D AH K T IY
ABDUCTEES	AE B D AH K T IY Z
ABSENTEE	AE B S AH N T IY
ABSENTEEISM	AE B S AH N T IY IH Z AH M
ABSENTEEISMS	AE B S AH N T IY IH Z AH M Z
ABSENTEES	AE B S AH N T IY Z
ACCEPTEE	AE K S EH P T IY
ACCEPTEES	AE K S EH P T IY Z
ACKEE	AE K IY IY
ACKEES	AE K IY Z
ADDRESSEE	AE D R EH S IY
ADDRESSEES	AH D R EH S IY Z
ADEEM	AH D IY M
ADEEMED	AH D IY M D
ADEEMING	AH D IY M IH NG
ADEEMS	AH D IY M Z
ADOPTEE	AH D AA P T IY
ADOPTEES	AH D AA P T IY Z
ADVISEE	AH D V AY Z IY
ADVISEES	AH D V AY Z IY Z
AFREET	AE F R IY T
AFREETS	AE F R IY T S
AGEE	EY JH IY
AGLEE	AH G L IY
AGREE	AH G R IY
AGREEABILITIES	AH G R IY AH B IH L AH T EH Z
AGREEABILITY	AH G R IY AH B IH L AH T EH
AGREEABLE	AH G R IY AH B AH L
AGREEABLENESS	AH G R IY AH B AH L N AH S
AGREEABLENESSES	AH G R IY AH B AH L N AH S IH Z
AGREEABLY	AH G R IY AH B L IY
AGREED	AH G R IY D
AGREEING	AH G R IY IH NG
AGREEMENT	AH G R IY M AH N T
AGREEMENTS	AH G R IY M AH N T S
AGREES	AH G R IY Z
AGUEWEED	EY G Y UW W IY D
AGUEWEEDS	EY G Y UW W IY D Z
AIRSPEED	EH R S P IY D
AIRSPEEDS	AH IH R S P IY D Z
AJEE	EY JH IY IY
AKEE	EY K IY IY
AKEES	EY K IY Z
ALEE	AH L IY
ALIENEE	EY L IY AH N IY
ALIENEES	EY L IY AH N IY Z
ALLEE	AH L IY
ALLEES	AO L IY Z
ALLOTTEE	AH L AA T IY
ALLOTTEES	AH L AA T IY Z
ALLSEED	AO L S IY D
ALLSEEDS	AO L S IY D Z
AMBEER	AE M B IH R
AMBEERS	AE M B AH R Z
AMEER	EY M IH R
AMEERATE	EY M AH R EY T
AMEERATES	EY M AH R EY T S
AMEERS	EY M AH R Z
AMPUTEE	AE M P Y AH T IY
AMPUTEES	AE M P Y AH T IY Z
AMREETA	AE M R IY T AH
AMREETAS	AE M R IY T AH Z
ANISEED	AE N AH S IY D
ANISEEDS	AE N AH S T S
ANTEED	AE N T IY D
ANTIFREEZE	AE N T IY F R IY Z
ANTIFREEZES	AE N T AY F R IY Z IH Z
ANTIPROFITEERING	AE N T AY P R AA F AH T IH R IH NG
ANTIRACKETEERING	AE N T AY R AE K AH T IH R IH NG
ANTISLEEP	AE N T AY S L IY P
ANTIWEED	AE N T AY W IY D
APEEK	AH P IY K
APOGEE	AE P AH JH IY
APOGEES	AE P AH JH IY Z
APPELLEE	AH P EH L IY
APPELLEES	AH P EH L IY Z
APPOINTEE	AH P OY N T IY
APPOINTEES	AH P OY N T IY Z
APPRAISEE	AH P R EY Z IY
APPRAISEES	AH P R EY Z IY Z
ARRESTEE	AH R EH S T IY
ARRESTEES	AH R EH S T IY Z
ASLEEP	AH S L IY P
ASSIGNEE	AH S AY N IY
