KE	K EH
ACKEE	AE K IY IY
ACKEES	AE K IY Z
ADOBELIKE	AH D OW B IY L AY K
ADULTLIKE	AH D AH L T L AY K
AEROBRAKE	EH R AH B R EY K
AEROBRAKED	EH R AH B R EY K T
AEROBRAKES	EH R AH B R EY K S
AFTERMARKET	AE F T ER M AA R K IH T
AFTERMARKETS	AE F T ER M AA R K IH T S
AGUELIKE	EY G Y UW L AY K
AIRLIKE	EH R L AY K
AIRSTRIKE	EH R S T R AY K
AIRSTRIKES	EH R S T R AY K S
AKEE	EY K IY IY
AKEES	EY K IY Z
AKELA	AE K AH L AH
AKELAS	AE K AH L AH Z
AKENE	AH K IY N
AKENES	AH K IY N Z
ALIKE	AH L AY K
ALIKENESS	AH L AY K N AH S
ALIKENESSES	AH L AY K N AH S IH Z
ALKENE	AE L K IY N
ALKENES	AE L K IY N Z
ALSIKE	AE L S AY K
ALSIKES	AE L S AY K S
ANANKE	AE N AH NG K
ANANKES	AE N AH NG K S
ANIMALLIKE	AE N AH M AH L AY K
ANKERITE	AE NG K AH R AY T
ANKERITES	AE NG K AH R AY T S
ANTICKED	AE N T IH K T
ANTILEUKEMIC	AE N T AH L UW K AH M AH K
ANTIMARKET	AE N T AY M AA R K AH T
ANTINUKE	AE N T AY N Y UW K
ANTIRACKETEERING	AE N T AY R AE K AH T IH R IH NG
ANTISMOKE	AE N T AY S M OW K
ANTISMOKER	AE N T AY S M OW K ER
ANTISMOKERS	AE N T AY S M OW K ER Z
ANTISTRIKE	AE N T AY S T R AY K
ANTITAKEOVER	AE N T IY T EY K OW V ER
ANTLIKE	AE N T L AY K
APELIKE	EY P L AY K
ARCHDUKE	AA R CH D UW K
ARCHDUKEDOM	AA R CH D UW K D AH M
ARCHDUKEDOMS	AA R CH D UW K D AH M Z
ARCHDUKES	AA R CH D UW K S
ARCKED	AA R K T
ARMLIKE	AA R M L AY K
ARTICHOKE	AA R T IH CH OW K
ARTICHOKES	AA R T IH CH OW K S
ASKED	AE S K T
ASKED(2)	AE S T
ASKER	AE S K ER
ASKERS	AE S K ER Z
ASKESES	AE S IY Z AH Z
ASKESIS	AE S AH S AH S
ASKEW	AH S K Y UW
ASKEWNESS	AH S K Y UW N AH S
ASKEWNESSES	AH S K Y UW N AH S IH Z
ASSLIKE	AE S L AY K
ASTERISKED	AE S T AH R IH S K T
ATTACKED	AH T AE K T
ATTACKER	AH T AE K ER
ATTACKERS	AH T AE K ER Z
AUNTLIKE	AE N T L AY K
AUTOMAKER	AO T OW M EY K ER
AUTOMAKERS	AO T OW M EY K ER Z
AUTOWORKER	AO T OW W ER K ER
AUTOWORKERS	AO T OW W ER K ER Z
AWAKE	AH W EY K
AWAKED	AH W EY K T
AWAKEN	AH W EY K AH N
AWAKENED	AH W EY K AH N D
AWAKENER	AH W EY K AH N ER
AWAKENERS	AH W EY K AH N ER Z
AWAKENING	AH W EY K AH N IH NG
AWAKENS	AH W EY K AH N Z
AWAKES	AH W EY K S
AWESTRICKEN	AO S T R IH K AH N
AWOKE	AH W OW K
AWOKEN	AH W OW K AH N
AXLIKE	AE K S L AY K
BACKBREAKER	B AE K B R EY K ER
BACKBREAKERS	B AE K B R EY K ER Z
BACKED	B AE K T
BACKER	B AE K ER
BACKERS	B AE K ER Z
BACKPACKED	B AE K P AE K T
BACKPACKER	B AE K P AE K ER
