KI	K IY
ADZUKI	AE D Z AH K IY
ADZUKIS	AE D Z UW K AH S
AEROBRAKING	EH R AH B R EY K AH NG
AIKIDO	EY K AH D OW
AIKIDOS	EY K AH D AH Z
AKIMBO	AH K IH M B OW
AKIN	AH K IH N
AKIN(2)	EY K IH N
ALFAKI	AE L F AH K IY
ALFAKIS	AE L F AH K AH S
ALKIES	AE L K AY Z
ALKINE	AE L K AY N
ALKINES	AE L K AY N Z
ANTIBLACKISM	AE N T AY B L AE K IH Z AH M
ANTIBLACKISMS	AE N T AY B L AE K IH Z AH M Z
ANTICAKING	AE N T AY K EY K IH NG
ANTICKING	AE N T IH K IH NG
ANTIKICKBACK	AE N T AY K IH K B AE K
ANTIKING	AE N T AY K IH NG
ANTIKINGS	AE N T AY K IH NG Z
ANTISKID	AE N T AY S K IH D
ANTISMOKING	AE N T IY S M OW K IH NG
ANTISMOKING(2)	AE N T AY S M OW K IH NG
APPARATCHIKI	AE P AH R AE CH AH K IY
ARCKING	AA R K IH NG
ASKING	AE S K IH NG
ASKINGS	AE S K IH NG Z
ASTERISKING	AE S T AH R IH S K IH NG
ATTACKING	AH T AE K IH NG
AUTARKIC	AO T AH R K AH K
AUTARKICAL	AH T AA R K IH S AH L
AUTARKIES	AH T AA R K AY Z
AWAKING	AH W EY K IH NG
BACKBREAKING	B AE K B R EY K IH NG
BACKING	B AE K IH NG
BACKINGS	B AE K IH NG Z
BACKPACKING	B AE K P AE K IH NG
BACKTRACKING	B AE K T R AE K IH NG
BAKING	B EY K IH NG
BAKINGS	B EY K IH NG Z
BALKIER	B AO K IY ER
BALKIEST	B AO K IY AH S T
BALKILY	B AO K IY L IY
BALKINESS	B AO K IY N AH S
BALKINESSES	B AO K IY N AH S IH Z
BALKING	B AO K IH NG
BANKING	B AE NG K IH NG
BANKINGS	B AE NG K IH NG Z
BARKIER	B AA R K IY ER
BARKIEST	B AA R K IY AH S T
BARKING	B AA R K IH NG
BARRACKING	B AE R AH K IH NG
BASKING	B AE S K IH NG
BAUDEKIN	B AO D AH K AH N
BAUDEKINS	B AO D AH K AH N Z
BAULKIER	B AO L K AY AH R
BAULKIEST	B AO L K AY AH S T
BAULKING	B AO K AH NG
BEAKIER	B AH AE K AY AH R
BEAKIEST	B AH AE K AY AH S T
BEARSKIN	B AE ER S K IH N
BEARSKINS	B AE ER S K IH N Z
BECHALKING	B IH CH AO K IH NG
BECKING	B EH K IH NG
BECLOAKING	B IH K L OW K IH NG
BEDECKING	B IH D EH K IH NG
BEFLECKING	B IH F L EH K IH NG
BEKISS	B IH K IH S
BEKISSED	B IH K IH S T
BEKISSES	B IH K IH S IH Z
BEKISSING	B IH K IH S IH NG
BEMOCKING	B IH M AA K IH NG
BENCHMARKING	B EH N CH M AA R K IH NG
BENCHMARKINGS	B EH N CH M AA R K IH NG Z
BERAKING	B IH R EY K IH NG
BESMOKING	B IH S M OW K IH NG
BESPEAKING	B IH S P IY K IH NG
BETAKING	B IH T EY K IH NG
BETHANKING	B IH TH AE NG K IH NG
BETHINKING	B IH TH IH NG K IH NG
BIKIE	B AY K AY
BIKIES	B AY K AY Z
BIKING	B AY K IH NG
BIKINI	B IH K IY N IY
BIKINIED	B AH K IY N IY D
BIKINIS	B AH K IY N IY Z
BILKING	B IH L K IH NG
BIRKIE	B AY R K AY
BIRKIES	B AY R K AY Z
BIVOUACKING	B IH V AH W AE K IH NG
BLACKING	B L AE K IH NG
BLACKINGS	B L AE K IH NG Z
BLACKISH	B L AE K IH SH
BLACKJACKING	B L AE K JH AE K IH NG
BLANKING	B L AE NG K IH NG
BLATHERSKITE	B L AE TH AH R S AY T
BLATHERSKITES	B L AE TH AH R S AY T S
BLEAKISH	B L IY K IH SH
