KO	K OW
ALKOXIDE	AE L K AH K S AY D
ALKOXIDES	AE L K AH K S AY D Z
ALKOXY	AE L K AA K S IY
ANGAKOK	AE N G AH K AH K
ANGAKOKS	AE N G AH K AH K S
ANISEIKONIA	AE N AH S AH K OW N Y AH
ANISEIKONIAS	AE N AH S AH K OW N Y AH Z
ANISEIKONIC	AE N AY S AY K AA N IH K
ARKOSE	AA R K OW S
ARKOSES	AA R K OW Z AH Z
ARKOSIC	AA R K AH Z AH K
ASKOI	AE S OY
ASKOS	AE S K AA S
BACKOUT	B AE K AW T
BACKOUTS	B AE K AW T S
BANGKOK	B AE NG K AA K
BANGKOKS	B AE NG K AA K S
BECKON	B EH K AH N
BECKONED	B EH K AH N D
BECKONER	B EH K AH N ER
BECKONERS	B EH K AH N ER Z
BECKONING	B EH K AH N IH NG
BECKONS	B EH K AH N Z
BLACKOUT	B L AE K AW T
BLACKOUTS	B L AE K AW T S
BREAKOUT	B R EY K AW T
BREAKOUTS	B R EY K AW T S
BUCKO	B AH K OW
BUCKOES	B AH K OW Z
BUCKOS	B AH K AA S
BUNKO	B AH NG K OW
BUNKOED	B AH NG K OW D
BUNKOES	B AH NG K OW Z
BUNKOING	B AH NG K OW AH NG
BUNKOS	B AH NG K AA S
CHECHAKO	CH EH CH AH K OW
CHECHAKOS	CH EH CH AH K AH Z
CHECKOFF	CH EH K AO F
CHECKOFFS	CH EH K AO F S
CHECKOUT	CH EH K AW T
CHECKOUTS	CH EH K AW T S
CHEECHAKO	CH IY CH AH K OW
CHEECHAKOS	CH IY CH AH K AH Z
CHICKORIES	CH IH K ER IY Z
CHICKORY	CH IH K ER IY
COOKOFF	K UH K AO F
COOKOFFS	K UH K AO F S
COOKOUT	K UH K AW T
COOKOUTS	K UH K AW T S
CRANKOUS	K R AE NG K AH S
CUCKOLD	K AH K OW L D
CUCKOLDED	K AH K OW L D AH D
CUCKOLDING	K AH K OW L D AH NG
CUCKOLDRIES	K AH K OW L D R AY Z
CUCKOLDRY	K AH K OW L D R IY
CUCKOLDS	K AH K OW L D Z
CUCKOO	K AH K UW
CUCKOO(2)	K UW K UW
CUCKOOED	K AH K UW D
CUCKOOFLOWER	K AH K UW F L OW AH R
CUCKOOFLOWERS	K AH K UW F L OW AH R Z
CUCKOOING	K AH K UW AH NG
CUCKOOPINT	K AH K UW P AH N T
CUCKOOPINTS	K AH K UW P AH N T S
CUCKOOS	K UW K UW Z
DAIKON	D EY K AH N
DAIKONS	D EY K AH N Z
DAKOIT	D AH K OY T
DAKOITIES	D AE K OY T AY Z
DAKOITS	D AH K OY T S
DAKOITY	D AH K OW AH T IY
DEKKO	D IH K OW
DEKKOS	D IH K AA Z
DUMMKOPF	D AH M K AH P
DUMMKOPFS	D AH M K AH P S
EIKON	IY K AH N
EIKONES	IY K OW N Z
EIKONS	IY K AH N Z
EINKORN	IY NG K AH R N
EINKORNS	IY NG K AH R N Z
EUROKOUS	Y UW R AH K AH S
FREAKOUT	F R IY K AW T
FREAKOUTS	F R IY K AW T S
GECKO	G EH K OW
GECKOES	JH EH K OW Z
GECKOS	G EH K OW Z
GINGKO	G IH NG K OW
GINGKOES	JH IH N G K OW Z
HALAKOTH	HH AE L AH K AH TH
HICKORIES	HH IH K ER IY Z
HICKORY	HH IH K ER IY
HICKORY(2)	HH IH K R IY
IKON	AY K AA N
IKONS	IH K AH N Z
IROKO	IH R AH K OW
IROKOS	IH R AH K AH Z
JINGKO	JH IH N G K OW
JINGKOES	JH IH N G K OW Z
JOCKO	JH AA K OW
JOCKOS	JH AA K AA S
KICKOFF	K IH K AO F
KICKOFFS	K IH K AO F S
KNOCKOFF	N AA K AO F
KNOCKOFFS	N AA K AO F S
KNOCKOUT	N AA K AW T
KNOCKOUTS	N AA K AW T S
KOA	K OW AH
KOALA	K OW AA L AH
KOALAS	K OW AA L AH Z
KOAN	K OW AH N
KOANS	K OW N Z
KOAS	K OW Z
KOB	K AA B
KOBO	K OW B OW
KOBOLD	K AH B OW L D
KOBOLDS	K AH B OW L D Z
KOBOS	K AA B AH Z
KOBS	K AA B Z
KOEL	K OW AH L
KOELS	K OW AH L Z
KOHL	K OW L
KOHLRABI	K AO L R AA B IY
KOHLRABIES	K OW L R AH B AY Z
KOHLS	K OW L Z
KOI	K OY
KOINE	K OY N
KOINES	K OY N Z
KOIS	K OW AH S
KOKANEE	K AA K AH N IY IY
KOKANEES	K AA K AH N IY Z
KOLA	K OW L AH
KOLACHE	K AA L AH CH
KOLACKY	K AH L AE K IY
KOLAS	K AA L AH Z
KOLBASI	K OW L B AH S IY
KOLBASIS	K OW L B AH S AH S
KOLBASSI	K OW L B AE S IY
KOLBASSIS	K OW L B AE S AH S
KOLHOZ	K OW L HH AH Z
KOLHOZES	K OW L HH OW Z AH Z
KOLHOZY	K OW L HH AH Z IY
KOLINSKI	K AH L IH N S K IY
KOLINSKIES	K AH L IH N S AY Z
KOLINSKY	K AH L IH N S IY
KOLKHOS	K OW L K AH Z
KOLKHOSES	K OW L K OW Z AH Z
KOLKHOSY	K OW L K AH Z IY
KOLKHOZ	K AA L K AO Z
KOLKHOZES	K AA L K AO Z IH Z
KOLKHOZNIK	K OW L K AA Z N AH K
KOLKHOZNIKI	K OW L K AA Z N AH K IY
KOLKHOZNIKS	K OW L K AA Z N AH K S
KOLKHOZY	K AA L K AO Z IY
KOLKOZ	K OW L K AH Z
KOLKOZES	K OW L K OW Z AH Z
KOLKOZY	K OW L K AH Z IY
KOLO	K OW L OW
KOLOS	K AA L AH Z
KOMATIK	K AA M AH T AH K
KOMATIKS	K AA M AH T AH K S
KOMONDOR	K AH M AA N D AH R
KOMONDOROCK	K AH M AA N D AH R AH K
KOMONDOROK	K AH M AA N D AH R AH K
KOMONDORS	K AH M AA N D AH R Z
KONK	K AO NG K
KONKED	K AO NG K T
KONKING	K AO NG K AH NG
KONKS	K AO NG K S
KOODOO	K UW D UW
KOODOOS	K UW D UW Z
KOOK	K UW K
KOOKABURRA	K UH K AH B AH R AH
KOOKABURRAS	K UH K AH B AH R AH Z
KOOKIE	K UH K AY
KOOKIER	K UH K AY AH R
KOOKIEST	K UH K AY AH S T
KOOKINESS	K UH K AH N AH S
KOOKINESSES	K UH K AH N EH S AH Z
KOOKS	K UW K S
KOOKY	K UW K IY
KOP	K AA P
KOPECK	K AA P AH K
KOPECKS	K AA P AH K S
