OUGH	UW
ABOUGHT	AH B AO T
AFORETHOUGHT	AH F AO R TH AA T
AFTERTHOUGHT	AE F T ER TH AA T
AFTERTHOUGHT(2)	AE F T ER TH AO T
AFTERTHOUGHTS	AE F T ER TH AA T S
AFTERTHOUGHTS(2)	AE F T ER TH AO T S
ALTHOUGH	AO L DH OW
BESOUGHT	B IH S AO T
BETHOUGHT	B IH TH AO T
BOROUGH	B ER OW
BOROUGHS	B ER OW Z
BOUGH	B AW
BOUGHED	B AW D
BOUGHPOT	B AW P AA T
BOUGHPOTS	B AW P AA T S
BOUGHS	B AW Z
BOUGHT	B AA T
BOUGHT(2)	B AO T
BOUGHTEN	B AO T AH N
BREAKTHROUGH	B R EY K TH R UW
BREAKTHROUGHS	B R EY K TH R UW Z
BROUGHAM	B R UW G AH M
BROUGHAMS	B R AW AH M Z
BROUGHT	B R AO T
CHOUGH	CH UW
CHOUGHS	CH AW Z
CLOUGH	K L AW
CLOUGHS	K L AW Z
COUGH	K AA F
COUGH(2)	K AO F
COUGHED	K AO F T
COUGHER	K AO F ER
COUGHERS	K AO F ER Z
COUGHING	K AA F IH NG
COUGHS	K AO F S
DOGFOUGHT	D AO G F AO T
DOUGH	D OW
DOUGHBOY	D OW B OY
DOUGHBOYS	D OW B OY Z
DOUGHFACE	D OW F EY S
DOUGHFACES	D OW F EY S IH Z
DOUGHIER	D OW IY ER
DOUGHIEST	D OW IY AH S T
DOUGHLIKE	D OW L AY K
DOUGHNUT	D OW N AH T
DOUGHNUTLIKE	D OW N AH T L AY K
DOUGHNUTS	D OW N AH T S
DOUGHS	D OW Z
DOUGHT	D AO T
DOUGHTIER	D OW T IH ER
DOUGHTIEST	D OW T AY AH S T
DOUGHTILY	D OW T AY L IY
DOUGHTINESS	D OW T AY N AH S
DOUGHTINESSES	D OW T AY N AH S IH Z
DOUGHTY	D AO T IY
DOUGHY	D OW IY
DREADNOUGHT	D R EH D N AO T
DREADNOUGHTS	D R EH D N AO T S
DROUGHT	D R AW T
DROUGHTIER	D R AW T IY ER
DROUGHTIEST	D R AW T IY AH S T
DROUGHTINESS	D R AW T IY N AH S
DROUGHTINESSES	D R AW T IY N AH S IH Z
DROUGHTS	D R AW T S
DROUGHTY	D R AW T IY
ENOUGH	IH N AH F
ENOUGH(2)	IY N AH F
ENOUGHS	IH N AH F S
FORETHOUGHT	F AO R TH AO T
FORETHOUGHTFUL	F OW R TH AO T F AH L
FORETHOUGHTFULLY	F OW R TH AO T F AH L IY
FORETHOUGHTFULNESS	F OW R TH AO T F AH L N AH S
FORETHOUGHTFULNESSES	F OW R TH AO T F AH L N AH S IH Z
FORETHOUGHTS	F OW R TH AO T S
FOUGHT	F AO T
FOUGHTEN	F AO T AH N
FURLOUGH	F ER L OW
FURLOUGHED	F ER L OW D
FURLOUGHING	F ER L OW IH NG
FURLOUGHS	F ER L OW Z
