OUL	AW L
ABOULIA	AH B AW L Y AH
ABOULIAS	AH B AW L Y AH Z
ABOULIC	AE B OW AH L AH K
AFOUL	AH F AW L
AMPOULE	AE M P OW UW L
AMPOULES	AE M P OW AH L Z
ANTIFOULING	AE N T AY F AW L IH NG
BEFOUL	B IH F AW L
BEFOULED	B IH F AW L D
BEFOULER	B IH F AW L ER
BEFOULERS	B IH F AW L ER Z
BEFOULING	B IH F AW L IH NG
BEFOULS	B IH F AW L Z
BIOFOULING	B AY AH F OW AH L AH NG
BIOFOULINGS	B AY AH F AW L AH NG Z
BOULDER	B OW L D ER
BOULDERED	B OW L D ER D
BOULDERS	B OW L D ER Z
BOULDERY	B OW L D ER IY
BOULE	B UW L
BOULES	B OW AH L Z
BOULEVARD	B UH L AH V AA R D
BOULEVARDIER	B UH L AH V AA R D IY ER
BOULEVARDIERS	B UH L AH V AA R D IY ER Z
BOULEVARDS	B UH L AH V AA R D Z
BOULEVERSEMENT	B AW L AH V AH R S M AH N T
BOULEVERSEMENTS	B AW L AH V AH R S AH M AH N T S
BOULLE	B UW L
BOULLES	B UW L Z
CASSOULET	K AE S AW L AH T
CASSOULETS	K AE S AW L AH T S
CIBOULE	S IH B OW UW L
CIBOULES	S IH B OW AH L Z
COULD	K UH D
COULDEST	K OW AH L D AH S T
COULDST	K OW AH L D S T
COULEE	K UW L IY
COULEES	K OW Y AH L IY Z
COULIS	K OW AH L AH S
COULISES	K OW Y AH L AY Z AH Z
COULISSE	K OW Y UW L AH S
COULISSES	K OW Y AH L IH S AH Z
COULOIR	K OW Y AH L OY R
COULOIRS	K OW Y AH L OY R Z
COULOMB	K UW L OW M
COULOMBIC	K UW L OW M IH K
COULOMBS	K UW L OW M Z
COULOMETER	K OW AH L AA M AH T AH R
COULOMETERS	K OW Y AH L AA M AH T AH R Z
COULOMETRIC	K OW Y UW L AH M AH T R AH K
COULOMETRICALLY	K OW Y UW L AH M EH T R AH K AE L IY
COULOMETRIES	K OW Y AH L AH M EH T R AY Z
COULOMETRY	K OW AH L AH M EH T R IY
COULTER	K OW L T ER
COULTERS	K OW AH L T AH R Z
DOUROUCOULI	D AH R AW K AW L IY
DOUROUCOULIS	D AH R AW K OW AH L AH S
ENSOUL	EH N S OW L
ENSOULED	EH N S OW L D
ENSOULING	EH N S OW L IH NG
ENSOULS	EH N S OW L Z
FOUL	F AW L
FOULARD	F AW L AH R D
FOULARDS	F AW L AH R D Z
FOULBROOD	F AW L B R UW D
FOULBROODS	F AW L B R UW D Z
FOULED	F AW L D
FOULER	F AW L ER
FOULEST	F AW L AH S T
FOULING	F AW L IH NG
FOULINGS	F AW L IH NG Z
FOULLY	F AW L IY
FOULMOUTHED	F AW L M AW TH T
FOULNESS	F AW L N AH S
FOULNESSES	F AW L N AH S IH Z
FOULS	F AW L Z
GHOUL	G UW L
GHOULIE	G UW L IY
GHOULIES	G UW L IY Z
GHOULISH	G UW L IH SH
GHOULISHLY	G UW L IH SH L IY
GHOULISHNESS	G UW L IH SH N AH S
GHOULISHNESSES	G UW L IH SH N AH S IH Z
GHOULS	G UW L Z
GOULASH	G UW L AA SH
GOULASHES	G AW L AH SH AH Z
INSOUL	IH N S OW L
INSOULED	IH N S OW L D
INSOULING	IH N S OW L IH NG
INSOULS	IH N S OW L Z
JOULE	JH UW L
JOULES	JH UW L Z
KILOJOULE	K AH L AA JH OW UW L
KILOJOULES	K AH L AA JH OW AH L Z
MOULAGE	M OW AH L AH JH
MOULAGES	M OW UH L AH JH AH Z
MOULD	M OW L D
MOULDED	M OW L D IH D
MOULDER	M OW L D ER
MOULDERED	M OW L D ER D
MOULDERING	M OW L D ER IH NG
MOULDERS	M OW L D ER Z
MOULDIER	M OW L D IY ER
MOULDIEST	M OW L D IY AH S T
MOULDING	M OW L D IH NG
MOULDINGS	M OW L D IH NG Z
MOULDS	M OW L D Z
MOULDY	M OW L D IY
MOULIN	M UW L AE N
MOULINS	M AW L AH N Z
MOULT	M OW L T
MOULTED	M OW L T AH D
MOULTER	M OW L T AH R
MOULTERS	M OW L T AH R Z
MOULTING	M OW L T AH NG
MOULTS	M OW L T S
OVERFOUL	OW V ER F AW L
OVERSOUL	OW V ER S OW L
OVERSOULS	OW V ER S OW L Z
PACHOULI	P AH CH AW L IY
PACHOULIS	P AH CH OW AH L AH S
PATCHOULI	P AH CH AW L IY
